Metric,Value
Total Hours of Prayer,536.50
Total Individual Users,97
Top 1 Timeslot,Tuesday at 09:00 with 17 bookings
Top 2 Timeslot,Monday at 06:00 with 16 bookings
Top 3 Timeslot,Tuesday at 19:00 with 15 bookings
Avg Hours per Day,1.61
Avg Hours per Week,11.28
Avg Hours per Year,588.46
Total Hours Last 7 Days,39.00
Unique Users Last 7 Days,26
Total Hours Previous 7 Days,11.00
Unique Users Previous 7 Days,8
Last 7 Days Hours Filled (%),23.21%
Previous 7 Days Hours Filled (%),6.55%
Total Hours Last 28 Days,81.00
Unique Users Last 28 Days,30
Total Hours Previous 28 Days,41.00
Unique Users Previous 28 Days,16
Last 28 Days Hours Filled (%),12.05%
Previous 28 Days Hours Filled (%),6.10%
Number of Weekly Regulars,0
Total Hours by Weekly Regulars (%),0.00%
Number of Fortnightly Regulars,4
Total Hours by Fortnightly Regulars (%),26.19%
